ID,Tick,Type,Carbon,Electricity
2,3,COAL,3563987.2,67.40553
15,3,COAL,3977675.5,68.97142
21,3,NUCLEAR,275168.06,147.56473
14,3,COAL,3474188.5,64.700485
26,3,WIND,7715.424,25.337355
22,3,WIND,8231.408,25.568089
25,3,WIND,8159.3716,26.669256
13,3,WIND,7615.2935,25.766777
29,3,WIND,7828.17,25.457787
11,3,WIND,7926.062,25.415773
16,3,WIND,9108.093,26.311579
18,3,GAS,965379.56,45.687218
8,3,NUCLEAR,324814.12,159.66449
27,3,WIND,7169.258,24.643574
3,3,COAL,3478000.0,65.1584
24,3,WIND,6834.35,25.05015
10,3,NUCLEAR,259510.06,147.92244
0,3,WIND,7392.471,24.579147
1,3,WIND,8627.352,26.562513
19,3,COAL,3230688.8,63.649548
6,3,COAL,3887876.8,69.14297
12,3,WIND,7742.0806,25.94075
17,3,WIND,7460.133,25.957298
28,3,COAL,3516321.0,66.602455
5,3,WIND,7604.572,24.897984
4,3,WIND,7716.7686,25.640383
9,3,WIND,6845.974,24.395458
23,3,WIND,6406.3584,24.764517
20,3,GAS,969957.1,44.39914
2,3,GAS,1188633.9,51.428978
21,3,NUCLEAR,297879.7,153.25835
14,3,COAL,3759939.0,65.88937
26,3,WIND,8722.708,26.272968
22,3,WIND,8428.468,26.046316
25,3,COAL,3711692.5,66.948204
13,3,GAS,950013.1,45.552925
29,3,WIND,8252.632,25.527035
11,3,WIND,7331.0107,25.548046
16,3,COAL,4506633.5,71.98824
18,3,GAS,1110735.6,48.067585
27,3,WIND,8542.686,26.184864
3,3,GAS,1179818.5,47.38894
24,3,WIND,7323.545,25.60806
0,3,COAL,3763782.2,69.68195
1,3,WIND,8887.8,27.214397
19,3,COAL,4151363.8,69.3232
6,3,COAL,4143087.2,70.14048
12,3,WIND,8619.991,26.404453
17,3,WIND,8391.698,26.174906
28,3,GAS,1260402.1,51.22458
5,3,WIND,7344.646,24.999165
4,3,GAS,1212553.1,50.03327
9,3,WIND,7553.1367,25.050499
23,3,WIND,7027.2383,24.98512
20,3,GAS,1030071.1,46.50764
2,3,NUCLEAR,271915.75,147.21257
14,3,COAL,3737989.2,67.59133
26,3,WIND,8573.484,27.36391
22,3,WIND,8150.4424,26.170916
25,3,COAL,3389063.5,67.31382
13,3,COAL,4402483.0,71.96445
29,3,WIND,7741.7476,25.57192
11,3,COAL,3463620.0,64.980446
16,3,GAS,1056652.9,47.89805
18,3,GAS,1188166.5,48.494247
27,3,COAL,3092017.0,61.65226
3,3,GAS,1314012.1,51.399117
24,3,WIND,7557.043,25.845814
0,3,COAL,4093258.2,69.6865
1,3,COAL,3941350.5,70.17085
19,3,NUCLEAR,217302.83,133.34085
6,3,COAL,4141573.5,72.900444
12,3,COAL,3649719.2,65.35566
17,3,WIND,10035.17,27.900974
28,3,GAS,1208184.8,51.760864
5,3,WIND,6525.3535,25.045378
4,3,GAS,1237966.0,50.634285
9,3,WIND,7616.574,25.132559
23,3,WIND,8522.836,25.054527
20,3,COAL,4553280.0,72.898415
26,3,COAL,3731577.8,66.92546
22,3,WIND,8364.535,27.175673
25,3,GAS,1138836.2,48.315716
13,3,GAS,1390071.8,51.626858
29,3,WIND,8649.663,26.973661
11,3,NUCLEAR,270707.3,146.87975
16,3,GAS,1257477.5,50.962288
18,3,GAS,1212059.5,49.92802
27,3,COAL,3936257.0,68.1327
3,3,NUCLEAR,271769.5,149.8687
24,3,COAL,3225474.5,63.50254
0,3,GAS,1200844.9,48.834393
6,3,GAS,1405867.9,51.967743
12,3,COAL,3698910.2,69.69991
17,3,COAL,3180450.5,64.737335
