Tick,Coal_Carbon,Gas_Carbon,Nuclear_Carbon,Wind_Carbon,Coal_Electricity,Gas_Electricity,Nuclear_Electricity,Wind_Electricity
251,6.2265472E7,5.7594188E7,6794676.5,746640.6,1178.0806,2379.2178,3749.5525,2478.795
252,6.2265472E7,5.882096E7,6794676.5,746640.6,1178.0806,2428.6345,3749.5525,2478.795
253,6.2265472E7,5.882096E7,6794676.5,746640.6,1178.0806,2428.6345,3749.5525,2478.795
254,6.2265472E7,5.882096E7,6794676.5,755526.4,1178.0806,2428.6345,3749.5525,2504.5044
255,6.2265472E7,5.8674324E7,6794676.5,755526.4,1178.0806,2425.4792,3749.5525,2504.5044
256,6.2265472E7,5.8674324E7,6794676.5,763910.7,1178.0806,2425.4792,3749.5525,2531.4602
257,6.2265472E7,5.8674324E7,6794676.5,763910.7,1178.0806,2425.4792,3749.5525,2531.4602
258,6.2265472E7,5.9862236E7,6794676.5,763910.7,1178.0806,2473.7979,3749.5525,2531.4602
259,6.2265472E7,5.8604768E7,6794676.5,763910.7,1178.0806,2422.982,3749.5525,2531.4602
260,6.2265472E7,5.8604768E7,6794676.5,763910.7,1178.0806,2422.982,3749.5525,2531.4602
261,6.2265472E7,5.8604768E7,6794676.5,763910.7,1178.0806,2422.982,3749.5525,2531.4602
